Word,Value
review_count,0.4142105
OutdoorSeating_False,0.3048574
Tuesday_avail,0.27725267
BusinessParking_street_True,0.26000887
Sunday_open,-0.22768915
Sunday_close,0.18803251
BusinessParking_street_False,-0.18125659
RestaurantsPriceRange2_1,0.18085504
ByAppointmentOnly_True,-0.17606732
BusinessParking_garage_True,0.15393686
stars,0.15165332
is_open,0.13249835
Health & Medical,-0.12971237
Arts & Entertainment,0.12122384
GoodForKids_True,-0.10637229
Beauty & Spas,-0.10084989999999999
OutdoorSeating_True,-0.087149255
Thursday_close,-0.08421546
Friday_close,0.08227702
Automotive,0.07610510000000001
Active Life,-0.07219545
BusinessAcceptsCreditCards_False,0.06620305
Mexican,0.056447525
Friday_open,0.052014288
Nightlife,0.049628942999999995
BusinessParking_lot_False,0.04733857
American (New),-0.044623557
BusinessParking_validated_False,-0.040723905
Wednesday_close,-0.038967535
BusinessParking_lot_True,-0.038897373
BikeParking_False,0.037695687
Pets,-0.036916927
Restaurants,-0.032744657
Saturday_open,0.031856763999999996
Hotels & Travel,0.031078741
Real Estate Agents,-0.030504571
Skin Care,-0.02920545
RestaurantsAttire_u'casual',-0.02770836
Lawyers,0.026524954
Transportation,0.025821466
Movers,0.023642607000000003
GoodForKids_False,0.021903785
BusinessParking_valet_True,0.020722615
Public Services & Government,0.01882176
Thursday_open,-0.018378658
Pool Cleaners,-0.018321304
Veterinarians,-0.018302231999999998
RestaurantsGoodForGroups_NA,-0.017513642
Apartments,0.017256908
Preschools,-0.017233526000000002
Tuesday_open,0.017075837
Community Service/Non-Profit,0.015686987
Home Services,0.013753518000000001
Korean,0.013630561499999999
Ambience_divey_True,0.012243298
Monday_open,-0.0118130045
GoodForMeal_latenight_False,-0.011156437
Latin American,0.011064001
Soul Food,0.011004802
Mass Media,0.0099415
Oil Change Stations,-0.009902125999999999
Ice Cream & Frozen Yogurt,-0.009636974
Sports Bars,-0.009199055
Pizza,-0.0087136235
Airports,0.008636458
Tattoo,0.008079727
Shopping,0.007972434
WiFi_'free',-0.0076562436
Cinema,-0.006844986
Check Cashing/Pay-day Loans,0.0064647812
Criminal Defense Law,0.006211918
Monday_close,0.0056160796
BusinessAcceptsCreditCards_NA,0.0054780956999999995
Alcohol_u'none',0.005299987700000001
Hair Removal,-0.0051387716
Car Wash,-0.005001134
Specialty Schools,-0.0048182597
Nail Salons,-0.004759231599999999
Museums,0.0047526257
Estate Planning Law,-0.004495316
Wedding Chapels,0.0042084567
Drugstores,-0.0041837440000000005
Ambience_hipster_True,0.0038709067999999998
Tires,-0.0037777121000000004
Mortgage Brokers,-0.0037054669
Saturday_close,0.003699283
Alcohol_u'full_bar',-0.0036876732
Contractors,-0.0036184064
Post Offices,-0.0034424958
Golf,-0.002970275
Ethiopian,0.0029700198
GoodForKids_NA,-0.0028834664
Tuesday_close,-0.002753694
Tex-Mex,-0.0026210025
Adult Entertainment,0.0026036033
Sushi Bars,-0.0025100755
Wineries,-0.0023475678
GoodForMeal_lunch_False,-0.0023116947000000002
Property Management,0.00204655
Paint & Sip,-0.0019611623
BikeParking_True,0.0019285913
RestaurantsPriceRange2_2,-0.0018907804999999998
Caters_False,-0.0018344512
Vietnamese,0.0017079856
American (Traditional),-0.0016234732000000001
HasTV_False,0.0016149081
GoodForMeal_dinner_True,-0.0015617562
HasTV_True,0.0015353982000000002
Hawaiian,0.0014794717999999998
NoiseLevel_NA,0.0014547147
Car Rental,0.0013990673
Thrift Stores,-0.0012698751
Bail Bondsmen,0.0012631388
Limos,-0.0012171511
Investing,-0.00118755
Sunday_avail,0.0011468447
RestaurantsGoodForGroups_False,0.0011155427
Sandwiches,-0.0010689368
Japanese,-0.0010557299000000001
Alcohol_'none',-0.0010441422
BusinessParking_garage_NA,0.0009779591
Alcohol_u'beer_and_wine',-0.00092862267
RestaurantsReservations_True,0.0009146347999999999
Ambience_touristy_True,0.0008768267
NoiseLevel_'average',-0.0008725542
Food,-0.0008185513400000001
Music_live_False,0.00081471645
Delis,0.0007333538
Cafes,0.0006900891
Medical Law,-0.00066468556
RestaurantsAttire_'casual',-0.00065457926
Music_dj_True,0.0006462736
RestaurantsPriceRange2_3,-0.00063516945
Divorce & Family Law,0.00061211945
