,propertyCrimes,violentCrimes,zipcodes
0,24.9,18.9,02645
1,29.8,22.0,05440
2,24.7,15.8,06032
3,31.7,25.0,06280
4,20.5,15.5,06759
5,8.9,4.6,06897
6,28.5,21.9,07083
7,50.1,51.5,11211
8,54.5,56.2,11433
9,40.5,35.4,12919
10,37.4,31.9,12958
11,38.8,31.6,12979
12,35.4,30.8,15001
13,48.3,47.7,15003
14,17.3,13.6,15007
15,34.1,24.4,15012
16,9.5,5.8,15015
17,30.5,25.8,15017
18,41.4,37.0,15018
19,22.8,14.1,15020
20,28.6,26.4,15021
21,21.5,17.8,15024
22,34.3,30.3,15025
23,18.4,14.3,15026
24,47.6,40.7,15030
25,63.8,59.6,15031
26,42.4,36.4,15034
27,40.3,35.5,15035
28,23.5,18.4,15037
29,26.7,22.2,15038
30,15.4,9.7,15044
31,53.0,44.9,15045
32,23.2,20.4,15046
33,38.1,33.2,15049
34,26.7,22.4,15051
35,33.5,28.4,15055
36,44.5,34.9,15056
37,17.3,13.3,15057
38,40.3,35.5,15060
39,29.2,25.4,15063
40,31.8,26.2,15064
41,37.9,32.6,15067
42,39.8,31.2,15068
43,27.9,20.4,15071
44,57.0,53.3,15075
45,26.4,21.6,15076
46,40.2,37.6,15082
47,35.3,33.0,15083
48,41.3,36.1,15084
49,23.9,20.9,15085
50,23.5,17.7,15086
51,42.8,40.4,15088
52,12.5,7.4,15090
53,18.4,12.9,15101
54,21.3,17.0,15102
55,61.5,58.9,15104
56,43.7,35.9,15106
57,25.2,20.1,15108
58,71.8,69.4,15110
59,70.1,75.9,15112
60,13.6,8.1,15116
61,43.8,38.1,15120
62,38.2,32.0,15122
63,24.8,17.6,15126
64,20.8,16.9,15129
65,26.9,21.3,15131
66,69.0,75.3,15132
67,33.8,29.1,15133
68,29.7,24.1,15135
69,47.5,39.1,15136
70,40.2,35.1,15137
71,32.7,26.5,15139
72,64.7,61.7,15140
73,10.4,5.0,15142
74,15.8,11.3,15143
75,33.0,27.3,15144
76,49.6,45.8,15145
77,31.6,26.1,15146
78,43.0,37.4,15147
79,65.3,59.7,15148
80,55.8,47.9,15201
81,43.6,34.3,15202
82,56.4,47.9,15203
83,62.0,56.8,15204
84,51.3,42.8,15205
85,64.1,57.0,15206
86,55.9,49.0,15207
87,68.1,62.9,15208
88,31.7,25.5,15209
89,66.8,61.9,15210
90,58.7,51.0,15211
91,63.2,57.0,15212
92,53.3,46.2,15213
93,59.0,52.4,15214
94,28.5,23.8,15215
95,49.7,40.9,15216
96,41.6,33.8,15217
97,47.1,42.4,15218
98,66.7,62.0,15219
99,45.2,36.7,15220
100,59.9,55.6,15221
101,49.7,37.9,15222
102,37.6,31.2,15223
103,69.4,63.1,15224
104,54.3,41.9,15225
105,47.3,38.9,15226
106,37.0,30.7,15227
107,18.7,13.2,15228
108,30.8,22.6,15229
109,52.3,41.8,15232
110,71.7,67.0,15233
111,30.6,25.7,15234
112,33.3,27.8,15235
113,24.0,19.5,15236
114,22.4,14.2,15237
115,17.4,12.8,15238
116,20.0,14.9,15239
117,11.9,7.2,15241
118,16.9,12.2,15243
119,41.0,32.7,15301
120,18.4,13.7,15317
121,13.8,9.6,15321
122,14.5,10.4,15330
123,23.1,18.6,15332
124,6.7,2.4,15367
125,23.2,19.2,15632
126,6.9,4.3,15636
127,31.1,25.1,15637
128,19.4,13.7,15642
129,10.2,6.8,15668
130,37.9,30.8,15678
131,19.5,16.3,15949
132,14.3,9.8,16059
133,14.4,8.4,16066
134,68.7,61.1,16502
135,30.3,23.2,16509
136,28.5,23.9,16901
137,40.0,24.9,18104
138,70.9,79.5,21211
139,34.9,29.9,22827
140,17.9,9.7,23120
141,51.7,41.9,23231
142,56.4,47.3,27262
143,40.0,30.3,27278
144,46.2,22.9,27408
145,49.3,39.7,28001
146,39.9,27.1,28012
147,47.7,41.3,28016
148,39.2,31.0,28025
149,31.7,23.3,28027
150,28.2,22.3,28031
151,47.4,40.0,28032
152,26.7,18.9,28033
153,45.4,37.9,28034
154,19.0,13.4,28036
155,24.7,16.3,28037
156,67.8,58.0,28052
157,58.9,48.2,28054
158,37.7,28.1,28056
159,21.0,13.7,28075
160,21.4,14.4,28078
161,25.9,17.9,28079
162,42.1,35.3,28081
163,44.8,38.2,28083
164,33.4,25.7,28097
165,51.8,41.2,28098
166,30.9,22.3,28101
167,12.0,7.5,28104
168,28.4,18.6,28105
169,30.4,21.1,28107
170,43.2,32.3,28110
171,45.7,35.3,28112
172,36.8,27.7,28115
173,25.6,15.9,28117
174,35.4,29.4,28120
175,28.2,24.7,28127
176,56.7,39.4,28134
177,29.3,21.0,28164
178,12.1,7.3,28173
179,61.1,42.1,28202
180,63.8,46.7,28203
181,67.3,51.3,28204
182,70.2,57.5,28205
183,76.9,68.5,28206
184,36.5,23.6,28207
185,76.8,68.3,28208
186,56.5,36.8,28209
187,56.8,37.6,28210
188,53.1,32.4,28211
189,75.6,65.4,28212
190,67.4,53.5,28213
191,54.3,35.7,28214
192,62.1,46.6,28215
193,65.8,51.4,28216
194,75.3,64.5,28217
195,44.2,28.1,28226
196,54.9,35.8,28227
197,63.1,45.7,28262
198,55.1,35.6,28269
199,42.5,27.3,28270
200,60.5,42.9,28273
201,40.2,25.8,28277
202,45.3,29.2,28278
203,75.9,52.0,28303
204,75.8,69.2,28501
205,42.8,33.6,28658
206,37.0,24.6,28720
207,51.2,43.8,29031
208,86.3,69.5,29203
209,83.6,61.7,29204
210,91.4,64.9,29301
211,41.4,34.7,29432
212,66.9,55.7,29532
213,29.7,18.0,29707
214,15.6,8.6,29708
215,34.8,26.6,29710
216,27.9,22.1,29715
217,54.9,46.8,29720
218,51.6,44.5,29730
219,38.4,31.3,29732
220,42.1,36.8,29745
221,35.7,26.9,30009
222,26.5,18.0,30101
223,42.4,27.3,32258
224,79.8,63.6,32301
225,45.7,37.3,34667
226,27.7,21.0,35758
227,60.9,50.1,36867
228,84.1,53.3,37405
229,31.3,22.8,43123
230,24.5,18.2,44001
231,18.4,12.6,44011
232,17.4,13.0,44012
233,33.3,27.4,44017
234,28.4,21.7,44021
235,16.5,9.7,44022
236,12.8,4.7,44023
237,19.7,13.8,44024
238,12.7,10.0,44026
239,23.3,17.9,44028
240,48.5,41.2,44035
241,17.8,13.7,44039
242,10.1,5.3,44040
243,20.4,16.9,44044
244,40.4,31.4,44045
245,23.1,17.0,44046
246,22.8,16.7,44050
247,66.1,56.9,44052
248,47.1,37.6,44053
249,28.9,23.7,44054
250,68.1,59.2,44055
251,11.7,5.1,44056
252,27.4,22.9,44057
253,24.3,17.1,44060
254,32.4,25.8,44062
255,15.8,10.0,44064
256,24.2,17.6,44065
